array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000206,0.000206,0.000004,0.000202,0.000211,0.000211,2.4876,Scalar
1024,0.000403,0.000403,0.000001,0.000402,0.000404,0.000404,2.5399,Scalar
2048,0.000801,0.000802,0.000001,0.000801,0.000803,0.000803,2.5557,Scalar
4096,0.001603,0.001605,0.000007,0.001598,0.001614,0.001614,2.5546,Scalar
8192,0.003186,0.003186,0.000001,0.003185,0.003187,0.003187,2.5710,Scalar
12288,0.004852,0.004857,0.000008,0.004851,0.004867,0.004867,2.5327,Scalar
16384,0.006634,0.006633,0.000003,0.006629,0.006637,0.006637,2.4698,Scalar
20480,0.008253,0.008256,0.000006,0.008251,0.008265,0.008264,2.4816,Scalar
24576,0.009904,0.009904,0.000002,0.009900,0.009906,0.009906,2.4814,Scalar
28672,0.011552,0.011551,0.000001,0.011549,0.011552,0.011552,2.4821,Scalar
32768,0.013055,0.013057,0.000009,0.013047,0.013070,0.013070,2.5101,Scalar
40960,0.016312,0.016311,0.000007,0.016302,0.016319,0.016319,2.5111,Scalar
49152,0.019604,0.019600,0.000011,0.019585,0.019611,0.019611,2.5072,Scalar
57344,0.022926,0.022929,0.000005,0.022925,0.022935,0.022935,2.5013,Scalar
65536,0.026217,0.026219,0.000005,0.026214,0.026226,0.026226,2.4998,Scalar
