array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000080,0.000079,0.000003,0.000075,0.000083,0.000083,6.3741,SVE
1024,0.000153,0.000154,0.000002,0.000153,0.000157,0.000157,6.6753,SVE
2048,0.000305,0.000305,0.000001,0.000304,0.000306,0.000306,6.7115,SVE
4096,0.000611,0.000611,0.000001,0.000610,0.000612,0.000612,6.7001,SVE
8192,0.001203,0.001204,0.000001,0.001203,0.001205,0.001205,6.8073,SVE
12288,0.001880,0.001877,0.000004,0.001871,0.001881,0.001881,6.5370,SVE
16384,0.003012,0.003025,0.000037,0.002988,0.003075,0.003074,5.4395,SVE
20480,0.003933,0.003934,0.000002,0.003931,0.003937,0.003937,5.2066,SVE
24576,0.004678,0.004678,0.000001,0.004677,0.004679,0.004679,5.2539,SVE
28672,0.005450,0.005450,0.000001,0.005448,0.005451,0.005451,5.2612,SVE
32768,0.005024,0.005024,0.000005,0.005018,0.005029,0.005029,6.5226,SVE
40960,0.006280,0.006281,0.000002,0.006279,0.006284,0.006284,6.5222,SVE
49152,0.007539,0.007536,0.000004,0.007531,0.007540,0.007540,6.5199,SVE
57344,0.008836,0.008832,0.000025,0.008800,0.008861,0.008860,6.4899,SVE
65536,0.010069,0.010069,0.000006,0.010062,0.010076,0.010076,6.5086,SVE
