array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000050,0.000051,0.000003,0.000047,0.000055,0.000054,10.2736,SVE2
1024,0.000104,0.000104,0.000002,0.000102,0.000106,0.000106,9.8291,SVE2
2048,0.000211,0.000211,0.000001,0.000210,0.000212,0.000212,9.6895,SVE2
4096,0.000417,0.000419,0.000004,0.000416,0.000424,0.000424,9.8186,SVE2
8192,0.000852,0.000851,0.000003,0.000848,0.000854,0.000854,9.6191,SVE2
12288,0.001702,0.001701,0.000002,0.001698,0.001702,0.001702,7.2210,SVE2
16384,0.002527,0.002526,0.000002,0.002523,0.002527,0.002527,6.4847,SVE2
20480,0.003130,0.003131,0.000003,0.003127,0.003135,0.003135,6.5433,SVE2
24576,0.003759,0.003757,0.000005,0.003751,0.003761,0.003761,6.5373,SVE2
28672,0.004394,0.004389,0.000007,0.004380,0.004394,0.004394,6.5253,SVE2
32768,0.004932,0.004929,0.000008,0.004918,0.004938,0.004938,6.6433,SVE2
40960,0.006366,0.006362,0.000006,0.006355,0.006366,0.006366,6.4342,SVE2
49152,0.007985,0.007995,0.000017,0.007981,0.008018,0.008018,6.1554,SVE2
57344,0.009082,0.009096,0.000024,0.009077,0.009130,0.009129,6.3143,SVE2
65536,0.011054,0.011052,0.000009,0.011039,0.011061,0.011061,5.9285,SVE2
