array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.001320,0.001322,0.000002,0.001320,0.001325,0.001325,0.3879,NEON
1024,0.002156,0.002156,0.000001,0.002155,0.002157,0.002157,0.4749,NEON
2048,0.003826,0.003826,0.000000,0.003826,0.003826,0.003826,0.5353,NEON
4096,0.007123,0.007124,0.000002,0.007122,0.007126,0.007126,0.5751,NEON
8192,0.013722,0.013722,0.000001,0.013721,0.013723,0.013723,0.5970,NEON
12288,0.020315,0.020315,0.000003,0.020311,0.020319,0.020318,0.6049,NEON
16384,0.026901,0.026901,0.000001,0.026900,0.026902,0.026902,0.6091,NEON
20480,0.033500,0.033500,0.000006,0.033492,0.033507,0.033507,0.6113,NEON
24576,0.040081,0.040084,0.000006,0.040079,0.040093,0.040092,0.6132,NEON
28672,0.046673,0.046675,0.000004,0.046672,0.046681,0.046680,0.6143,NEON
32768,0.053269,0.053270,0.000002,0.053268,0.053273,0.053273,0.6151,NEON
40960,0.066450,0.066449,0.000001,0.066448,0.066450,0.066450,0.6164,NEON
49152,0.079626,0.079630,0.000006,0.079625,0.079639,0.079639,0.6173,NEON
57344,0.092808,0.092808,0.000002,0.092806,0.092811,0.092811,0.6179,NEON
65536,0.105991,0.105989,0.000004,0.105983,0.105992,0.105992,0.6183,NEON
