array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.001320,0.001321,0.000001,0.001320,0.001323,0.001322,0.3879,Scalar
1024,0.002164,0.002165,0.000001,0.002164,0.002166,0.002166,0.4731,Scalar
2048,0.003827,0.003827,0.000000,0.003826,0.003827,0.003827,0.5351,Scalar
4096,0.007123,0.007124,0.000002,0.007122,0.007127,0.007127,0.5750,Scalar
8192,0.013728,0.013728,0.000001,0.013727,0.013729,0.013729,0.5967,Scalar
12288,0.020317,0.020317,0.000001,0.020315,0.020318,0.020318,0.6048,Scalar
16384,0.026906,0.026906,0.000001,0.026905,0.026907,0.026907,0.6089,Scalar
20480,0.033496,0.033496,0.000001,0.033495,0.033497,0.033497,0.6114,Scalar
24576,0.040086,0.040085,0.000002,0.040082,0.040087,0.040087,0.6131,Scalar
28672,0.046673,0.046674,0.000001,0.046673,0.046674,0.046674,0.6143,Scalar
32768,0.053261,0.053262,0.000001,0.053261,0.053263,0.053263,0.6152,Scalar
40960,0.066441,0.066440,0.000001,0.066438,0.066441,0.066441,0.6165,Scalar
49152,0.079622,0.079621,0.000001,0.079620,0.079623,0.079623,0.6173,Scalar
57344,0.092800,0.092800,0.000001,0.092799,0.092802,0.092802,0.6179,Scalar
65536,0.105985,0.105985,0.000003,0.105981,0.105989,0.105989,0.6184,Scalar
