array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.001320,0.001321,0.000002,0.001320,0.001323,0.001323,0.3878,SVE2
1024,0.002157,0.002156,0.000001,0.002155,0.002157,0.002157,0.4748,SVE2
2048,0.003825,0.003826,0.000000,0.003825,0.003826,0.003826,0.5354,SVE2
4096,0.007129,0.007131,0.000003,0.007129,0.007135,0.007135,0.5746,SVE2
8192,0.013722,0.013722,0.000001,0.013721,0.013723,0.013723,0.5970,SVE2
12288,0.020315,0.020315,0.000004,0.020311,0.020320,0.020320,0.6049,SVE2
16384,0.026901,0.026904,0.000004,0.026901,0.026909,0.026909,0.6091,SVE2
20480,0.033496,0.033496,0.000001,0.033495,0.033498,0.033498,0.6114,SVE2
24576,0.040092,0.040089,0.000003,0.040085,0.040092,0.040092,0.6130,SVE2
28672,0.046674,0.046674,0.000001,0.046672,0.046676,0.046676,0.6143,SVE2
32768,0.053267,0.053270,0.000004,0.053267,0.053275,0.053275,0.6152,SVE2
40960,0.066449,0.066449,0.000001,0.066448,0.066450,0.066450,0.6164,SVE2
49152,0.079630,0.079631,0.000004,0.079626,0.079636,0.079636,0.6173,SVE2
57344,0.092810,0.092813,0.000005,0.092808,0.092820,0.092820,0.6179,SVE2
65536,0.105996,0.105993,0.000004,0.105988,0.105996,0.105996,0.6183,SVE2
