array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.051686,0.051689,0.000010,0.051678,0.051703,0.051703,0.0099,Scalar
1024,0.051928,0.051931,0.000004,0.051928,0.051937,0.051937,0.0197,Scalar
2048,0.052415,0.052414,0.000002,0.052412,0.052416,0.052416,0.0391,Scalar
4096,0.053380,0.053379,0.000002,0.053376,0.053380,0.053380,0.0767,Scalar
8192,0.055290,0.055290,0.000003,0.055287,0.055294,0.055293,0.1482,Scalar
12288,0.057209,0.057209,0.000002,0.057206,0.057211,0.057211,0.2148,Scalar
16384,0.059114,0.059115,0.000004,0.059111,0.059120,0.059120,0.2772,Scalar
20480,0.061021,0.061022,0.000005,0.061018,0.061029,0.061029,0.3356,Scalar
24576,0.062930,0.062931,0.000003,0.062929,0.062935,0.062935,0.3905,Scalar
28672,0.064849,0.064852,0.000004,0.064848,0.064858,0.064858,0.4421,Scalar
32768,0.066773,0.066776,0.000009,0.066766,0.066788,0.066788,0.4907,Scalar
40960,0.070618,0.070619,0.000003,0.070615,0.070623,0.070623,0.5800,Scalar
49152,0.074462,0.074464,0.000004,0.074461,0.074469,0.074469,0.6601,Scalar
57344,0.078308,0.078312,0.000005,0.078308,0.078319,0.078319,0.7323,Scalar
65536,0.082165,0.082163,0.000005,0.082157,0.082169,0.082169,0.7976,Scalar
