array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.052897,0.052969,0.000347,0.052585,0.053425,0.053414,0.0097,SVE
1024,0.053663,0.054042,0.000606,0.053566,0.054898,0.054874,0.0191,SVE
2048,0.055029,0.054777,0.000582,0.053972,0.055329,0.055323,0.0372,SVE
4096,0.055989,0.055847,0.000530,0.055138,0.056414,0.056406,0.0732,SVE
8192,0.057835,0.057751,0.000376,0.057255,0.058164,0.058158,0.1416,SVE
12288,0.059990,0.059984,0.000152,0.059796,0.060167,0.060164,0.2048,SVE
16384,0.061543,0.061564,0.000097,0.061456,0.061692,0.061689,0.2662,SVE
20480,0.063226,0.063004,0.000316,0.062557,0.063229,0.063229,0.3239,SVE
24576,0.065613,0.065267,0.000674,0.064326,0.065863,0.065858,0.3746,SVE
28672,0.065165,0.065222,0.000307,0.064877,0.065623,0.065614,0.4400,SVE
32768,0.066793,0.066794,0.000003,0.066790,0.066798,0.066797,0.4906,SVE
40960,0.070657,0.070657,0.000002,0.070656,0.070659,0.070659,0.5797,SVE
49152,0.074525,0.074524,0.000005,0.074518,0.074530,0.074530,0.6595,SVE
57344,0.078478,0.078486,0.000011,0.078478,0.078502,0.078501,0.7307,SVE
65536,0.082260,0.082267,0.000011,0.082259,0.082282,0.082282,0.7967,SVE
