array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.051683,0.051689,0.000011,0.051680,0.051704,0.051703,0.0099,SVE2
1024,0.051924,0.051926,0.000006,0.051921,0.051934,0.051934,0.0197,SVE2
2048,0.052409,0.052410,0.000002,0.052408,0.052413,0.052413,0.0391,SVE2
4096,0.053357,0.053357,0.000001,0.053356,0.053358,0.053358,0.0768,SVE2
8192,0.055276,0.055277,0.000001,0.055275,0.055278,0.055278,0.1482,SVE2
12288,0.057190,0.057191,0.000001,0.057190,0.057192,0.057192,0.2149,SVE2
16384,0.059110,0.059109,0.000002,0.059107,0.059111,0.059111,0.2772,SVE2
20480,0.061028,0.061027,0.000002,0.061025,0.061029,0.061029,0.3356,SVE2
24576,0.062946,0.062946,0.000000,0.062946,0.062947,0.062947,0.3904,SVE2
28672,0.064871,0.064870,0.000003,0.064865,0.064872,0.064872,0.4420,SVE2
32768,0.066908,0.066879,0.000048,0.066811,0.066919,0.066919,0.4898,SVE2
40960,0.070662,0.070663,0.000003,0.070660,0.070667,0.070667,0.5797,SVE2
49152,0.074532,0.074532,0.000002,0.074530,0.074534,0.074534,0.6595,SVE2
57344,0.078408,0.078408,0.000001,0.078406,0.078409,0.078409,0.7314,SVE2
65536,0.082285,0.082285,0.000002,0.082283,0.082288,0.082288,0.7964,SVE2
