array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000181,0.000181,0.000000,0.000181,0.000181,0.000181,2.8288,NEON
1024,0.000365,0.000366,0.000001,0.000365,0.000368,0.000368,2.8069,NEON
2048,0.000730,0.000730,0.000001,0.000730,0.000731,0.000731,2.8037,NEON
4096,0.001463,0.001465,0.000003,0.001462,0.001469,0.001469,2.7993,NEON
8192,0.002927,0.002928,0.000001,0.002927,0.002929,0.002929,2.7986,NEON
12288,0.004392,0.004392,0.000000,0.004391,0.004392,0.004392,2.7978,NEON
16384,0.005859,0.005861,0.000003,0.005859,0.005865,0.005865,2.7964,NEON
20480,0.007324,0.007324,0.000000,0.007323,0.007324,0.007324,2.7965,NEON
24576,0.008788,0.008788,0.000001,0.008787,0.008789,0.008789,2.7964,NEON
28672,0.010253,0.010255,0.000003,0.010253,0.010259,0.010259,2.7964,NEON
32768,0.011718,0.011718,0.000000,0.011718,0.011718,0.011718,2.7964,NEON
40960,0.014647,0.014648,0.000001,0.014647,0.014648,0.014648,2.7964,NEON
49152,0.017576,0.017576,0.000000,0.017576,0.017576,0.017576,2.7965,NEON
57344,0.020505,0.020506,0.000002,0.020504,0.020510,0.020510,2.7966,NEON
65536,0.023434,0.023434,0.000001,0.023433,0.023435,0.023435,2.7967,NEON
