array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000357,0.000358,0.000001,0.000357,0.000359,0.000359,1.4338,Scalar
1024,0.000724,0.000725,0.000002,0.000723,0.000728,0.000728,1.4150,Scalar
2048,0.001456,0.001456,0.000001,0.001455,0.001457,0.001457,1.4063,Scalar
4096,0.002921,0.002922,0.000002,0.002920,0.002924,0.002924,1.4022,Scalar
8192,0.005850,0.005850,0.000000,0.005849,0.005850,0.005850,1.4004,Scalar
12288,0.008779,0.008779,0.000001,0.008779,0.008780,0.008780,1.3997,Scalar
16384,0.011707,0.011709,0.000002,0.011707,0.011712,0.011712,1.3995,Scalar
20480,0.014634,0.014636,0.000002,0.014634,0.014639,0.014639,1.3994,Scalar
24576,0.017566,0.017566,0.000001,0.017565,0.017566,0.017566,1.3991,Scalar
28672,0.020494,0.020494,0.000001,0.020493,0.020494,0.020494,1.3990,Scalar
32768,0.023423,0.023423,0.000001,0.023422,0.023424,0.023424,1.3990,Scalar
40960,0.029281,0.029281,0.000000,0.029280,0.029281,0.029281,1.3989,Scalar
49152,0.035139,0.035139,0.000001,0.035139,0.035140,0.035140,1.3988,Scalar
57344,0.040995,0.040995,0.000001,0.040994,0.040996,0.040996,1.3988,Scalar
65536,0.046854,0.046854,0.000000,0.046854,0.046855,0.046855,1.3987,Scalar
