array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000183,0.000185,0.000002,0.000183,0.000188,0.000188,2.7936,SVE
1024,0.000365,0.000366,0.000000,0.000365,0.000366,0.000366,2.8020,SVE
2048,0.000732,0.000732,0.000000,0.000732,0.000733,0.000733,2.7975,SVE
4096,0.001469,0.001468,0.000003,0.001464,0.001469,0.001469,2.7877,SVE
8192,0.002929,0.002930,0.000001,0.002928,0.002931,0.002931,2.7966,SVE
12288,0.004394,0.004394,0.000000,0.004394,0.004394,0.004394,2.7965,SVE
16384,0.005858,0.005858,0.000000,0.005858,0.005858,0.005858,2.7969,SVE
20480,0.007322,0.007322,0.000000,0.007322,0.007322,0.007322,2.7971,SVE
24576,0.008787,0.008786,0.000001,0.008785,0.008788,0.008788,2.7970,SVE
28672,0.010252,0.010252,0.000000,0.010251,0.010252,0.010252,2.7968,SVE
32768,0.011717,0.011717,0.000000,0.011716,0.011717,0.011717,2.7967,SVE
40960,0.014645,0.014645,0.000000,0.014644,0.014645,0.014645,2.7968,SVE
49152,0.017573,0.017573,0.000001,0.017573,0.017574,0.017574,2.7970,SVE
57344,0.020502,0.020502,0.000001,0.020501,0.020503,0.020503,2.7970,SVE
65536,0.023433,0.023434,0.000001,0.023433,0.023436,0.023436,2.7968,SVE
