array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.050679,0.050683,0.000009,0.050674,0.050696,0.050696,0.0101,NEON
1024,0.050920,0.050926,0.000012,0.050915,0.050944,0.050943,0.0201,NEON
2048,0.051412,0.051409,0.000006,0.051401,0.051414,0.051414,0.0398,NEON
4096,0.052932,0.052818,0.000331,0.052369,0.053155,0.053150,0.0774,NEON
8192,0.055076,0.055081,0.000008,0.055075,0.055093,0.055093,0.1487,NEON
12288,0.056997,0.056996,0.000004,0.056991,0.057001,0.057001,0.2156,NEON
16384,0.058856,0.058890,0.000057,0.058844,0.058971,0.058968,0.2784,NEON
20480,0.060838,0.060839,0.000006,0.060831,0.060847,0.060847,0.3366,NEON
24576,0.062971,0.062948,0.000052,0.062875,0.062997,0.062996,0.3903,NEON
28672,0.064825,0.064821,0.000011,0.064805,0.064832,0.064832,0.4423,NEON
32768,0.066932,0.067038,0.000180,0.066890,0.067292,0.067285,0.4896,NEON
40960,0.071681,0.071491,0.000583,0.070702,0.072090,0.072082,0.5714,NEON
49152,0.075114,0.075191,0.000562,0.074545,0.075915,0.075899,0.6544,NEON
57344,0.078407,0.078408,0.000013,0.078393,0.078425,0.078425,0.7314,NEON
65536,0.082352,0.082351,0.000008,0.082340,0.082360,0.082360,0.7958,NEON
