array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.051175,0.051219,0.000098,0.051128,0.051355,0.051351,0.0100,Scalar
1024,0.051437,0.051448,0.000017,0.051434,0.051472,0.051471,0.0199,Scalar
2048,0.051956,0.051974,0.000054,0.051918,0.052047,0.052045,0.0394,Scalar
4096,0.053065,0.053065,0.000001,0.053064,0.053066,0.053066,0.0772,Scalar
8192,0.055002,0.054986,0.000031,0.054943,0.055013,0.055013,0.1489,Scalar
12288,0.056923,0.056922,0.000002,0.056920,0.056924,0.056924,0.2159,Scalar
16384,0.058763,0.058763,0.000002,0.058760,0.058765,0.058765,0.2788,Scalar
20480,0.060798,0.060819,0.000041,0.060782,0.060876,0.060875,0.3369,Scalar
24576,0.062735,0.062775,0.000065,0.062722,0.062867,0.062864,0.3917,Scalar
28672,0.064642,0.064656,0.000022,0.064638,0.064687,0.064686,0.4435,Scalar
32768,0.066419,0.066419,0.000005,0.066413,0.066426,0.066426,0.4934,Scalar
40960,0.070397,0.070395,0.000005,0.070387,0.070400,0.070400,0.5818,Scalar
49152,0.074175,0.074180,0.000008,0.074174,0.074191,0.074190,0.6626,Scalar
57344,0.078068,0.078067,0.000004,0.078061,0.078072,0.078072,0.7345,Scalar
65536,0.081769,0.081770,0.000001,0.081769,0.081772,0.081772,0.8015,Scalar
