array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.050679,0.050685,0.000009,0.050678,0.050698,0.050698,0.0101,SVE
1024,0.050922,0.050923,0.000004,0.050919,0.050929,0.050929,0.0201,SVE
2048,0.051398,0.051398,0.000003,0.051393,0.051402,0.051402,0.0398,SVE
4096,0.052362,0.052365,0.000005,0.052361,0.052371,0.052371,0.0782,SVE
8192,0.054278,0.054276,0.000004,0.054269,0.054279,0.054279,0.1509,SVE
12288,0.056220,0.056221,0.000003,0.056217,0.056226,0.056225,0.2186,SVE
16384,0.058090,0.058090,0.000003,0.058086,0.058093,0.058093,0.2820,SVE
20480,0.060058,0.060056,0.000005,0.060049,0.060060,0.060060,0.3410,SVE
24576,0.061971,0.061970,0.000001,0.061969,0.061972,0.061972,0.3966,SVE
28672,0.063900,0.063899,0.000005,0.063893,0.063904,0.063904,0.4487,SVE
32768,0.065777,0.065777,0.000003,0.065772,0.065780,0.065780,0.4982,SVE
40960,0.069654,0.069653,0.000003,0.069650,0.069656,0.069656,0.5880,SVE
49152,0.073533,0.073520,0.000022,0.073489,0.073539,0.073539,0.6684,SVE
57344,0.077342,0.077350,0.000022,0.077329,0.077380,0.077379,0.7414,SVE
65536,0.081140,0.081142,0.000005,0.081138,0.081149,0.081148,0.8077,SVE
