array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.050670,0.050677,0.000013,0.050665,0.050695,0.050695,0.0101,SVE2
1024,0.051998,0.052028,0.000090,0.051935,0.052151,0.052147,0.0197,SVE2
2048,0.052230,0.052215,0.000025,0.052179,0.052235,0.052235,0.0392,SVE2
4096,0.053317,0.053514,0.000464,0.053071,0.054154,0.054137,0.0768,SVE2
8192,0.055099,0.055099,0.000002,0.055098,0.055102,0.055102,0.1487,SVE2
12288,0.056987,0.056987,0.000002,0.056985,0.056989,0.056989,0.2156,SVE2
16384,0.058899,0.059256,0.000516,0.058882,0.059986,0.059964,0.2782,SVE2
20480,0.062497,0.062503,0.000016,0.062488,0.062525,0.062525,0.3277,SVE2
24576,0.062953,0.063373,0.000765,0.062721,0.064446,0.064417,0.3904,SVE2
28672,0.064630,0.064631,0.000003,0.064628,0.064635,0.064634,0.4436,SVE2
32768,0.066588,0.066590,0.000004,0.066586,0.066596,0.066596,0.4921,SVE2
40960,0.070438,0.070435,0.000023,0.070405,0.070461,0.070460,0.5815,SVE2
49152,0.074814,0.074904,0.000463,0.074387,0.075511,0.075497,0.6570,SVE2
57344,0.078269,0.078268,0.000002,0.078265,0.078271,0.078271,0.7326,SVE2
65536,0.082123,0.082116,0.000017,0.082092,0.082133,0.082133,0.7980,SVE2
