array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000495,0.000495,0.000001,0.000494,0.000497,0.000497,1.0343,NEON
1024,0.000505,0.000505,0.000001,0.000504,0.000506,0.000506,2.0287,NEON
2048,0.000528,0.000529,0.000001,0.000528,0.000531,0.000531,3.8760,NEON
4096,0.000528,0.000528,0.000000,0.000528,0.000528,0.000528,7.7523,NEON
8192,0.000528,0.000529,0.000001,0.000528,0.000531,0.000531,15.5054,NEON
12288,0.000529,0.000528,0.000001,0.000528,0.000529,0.000529,23.2481,NEON
16384,0.000528,0.000529,0.000002,0.000528,0.000531,0.000531,31.0200,NEON
20480,0.000529,0.000529,0.000000,0.000528,0.000529,0.000529,38.7494,NEON
24576,0.000528,0.000528,0.000000,0.000528,0.000529,0.000529,46.5320,NEON
28672,0.000528,0.000528,0.000001,0.000528,0.000529,0.000529,54.2538,NEON
32768,0.000528,0.000528,0.000000,0.000528,0.000529,0.000529,62.0058,NEON
40960,0.000528,0.000528,0.000000,0.000528,0.000529,0.000529,77.5214,NEON
49152,0.000528,0.000528,0.000000,0.000528,0.000529,0.000529,93.0129,NEON
57344,0.000528,0.000528,0.000000,0.000528,0.000528,0.000528,108.5726,NEON
65536,0.000529,0.000528,0.000001,0.000528,0.000529,0.000529,123.9719,NEON
