array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000494,0.000495,0.000001,0.000494,0.000496,0.000495,1.0357,Scalar
1024,0.000505,0.000506,0.000002,0.000505,0.000510,0.000509,2.0280,Scalar
2048,0.000528,0.000529,0.000001,0.000528,0.000531,0.000530,3.8769,Scalar
4096,0.000528,0.000528,0.000001,0.000527,0.000529,0.000529,7.7568,Scalar
8192,0.000528,0.000528,0.000000,0.000527,0.000528,0.000528,15.5098,Scalar
12288,0.000528,0.000528,0.000000,0.000528,0.000528,0.000528,23.2662,Scalar
16384,0.000528,0.000529,0.000001,0.000528,0.000531,0.000531,31.0106,Scalar
20480,0.000528,0.000528,0.000001,0.000527,0.000529,0.000529,38.7753,Scalar
24576,0.000528,0.000528,0.000000,0.000527,0.000528,0.000528,46.5229,Scalar
28672,0.000528,0.000528,0.000000,0.000528,0.000528,0.000528,54.3372,Scalar
32768,0.000528,0.000529,0.000001,0.000527,0.000530,0.000530,62.0216,Scalar
40960,0.000528,0.000528,0.000001,0.000527,0.000529,0.000529,77.5588,Scalar
49152,0.000528,0.000528,0.000001,0.000527,0.000529,0.000529,93.1589,Scalar
57344,0.000528,0.000528,0.000001,0.000527,0.000529,0.000529,108.5588,Scalar
65536,0.000528,0.000528,0.000000,0.000528,0.000528,0.000528,124.0625,Scalar
