array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000497,0.000496,0.000002,0.000494,0.000498,0.000498,1.0306,SVE
1024,0.000505,0.000504,0.000001,0.000504,0.000505,0.000505,2.0290,SVE
2048,0.000528,0.000528,0.000000,0.000528,0.000529,0.000529,3.8754,SVE
4096,0.000528,0.000529,0.000001,0.000528,0.000529,0.000529,7.7506,SVE
8192,0.000528,0.000529,0.000001,0.000528,0.000531,0.000531,15.5023,SVE
12288,0.000529,0.000529,0.000001,0.000528,0.000529,0.000529,23.2507,SVE
16384,0.000528,0.000528,0.000000,0.000528,0.000529,0.000529,31.0111,SVE
20480,0.000528,0.000529,0.000000,0.000528,0.000529,0.000529,38.7546,SVE
24576,0.000528,0.000528,0.000000,0.000528,0.000529,0.000529,46.5086,SVE
28672,0.000528,0.000528,0.000000,0.000528,0.000529,0.000529,54.2743,SVE
32768,0.000528,0.000528,0.000000,0.000528,0.000529,0.000529,62.0093,SVE
40960,0.000529,0.000528,0.000000,0.000528,0.000529,0.000529,77.4912,SVE
49152,0.000528,0.000528,0.000000,0.000528,0.000528,0.000528,93.0345,SVE
57344,0.000528,0.000529,0.000001,0.000528,0.000530,0.000530,108.5538,SVE
65536,0.000528,0.000528,0.000001,0.000528,0.000529,0.000529,124.0059,SVE
