array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000495,0.000496,0.000002,0.000494,0.000498,0.000498,1.0334,SVE2
1024,0.000505,0.000505,0.000000,0.000504,0.000505,0.000505,2.0283,SVE2
2048,0.000528,0.000528,0.000000,0.000528,0.000529,0.000529,3.8768,SVE2
4096,0.000528,0.000528,0.000001,0.000528,0.000529,0.000529,7.7519,SVE2
8192,0.000528,0.000529,0.000001,0.000528,0.000530,0.000530,15.5060,SVE2
12288,0.000528,0.000529,0.000001,0.000528,0.000531,0.000531,23.2608,SVE2
16384,0.000528,0.000528,0.000000,0.000528,0.000529,0.000529,31.0064,SVE2
20480,0.000528,0.000528,0.000000,0.000528,0.000528,0.000528,38.7698,SVE2
24576,0.000528,0.000528,0.000000,0.000528,0.000529,0.000529,46.5253,SVE2
28672,0.000528,0.000528,0.000000,0.000528,0.000529,0.000529,54.2668,SVE2
32768,0.000529,0.000528,0.000000,0.000528,0.000529,0.000529,61.9996,SVE2
40960,0.000528,0.000528,0.000001,0.000528,0.000529,0.000529,77.5281,SVE2
49152,0.000528,0.000528,0.000000,0.000528,0.000528,0.000528,93.0444,SVE2
57344,0.000528,0.000528,0.000001,0.000528,0.000529,0.000529,108.5320,SVE2
65536,0.000528,0.000528,0.000000,0.000528,0.000528,0.000528,124.0500,SVE2
