array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.001059,0.001059,0.000002,0.001057,0.001062,0.001062,0.4834,NEON
1024,0.002156,0.002156,0.000000,0.002156,0.002157,0.002157,0.4749,NEON
2048,0.004353,0.004354,0.000001,0.004353,0.004356,0.004356,0.4705,NEON
4096,0.008746,0.008746,0.000001,0.008745,0.008747,0.008747,0.4684,NEON
8192,0.017535,0.017534,0.000002,0.017531,0.017535,0.017535,0.4672,NEON
12288,0.026319,0.026320,0.000000,0.026319,0.026320,0.026320,0.4669,NEON
16384,0.035106,0.035106,0.000001,0.035105,0.035107,0.035107,0.4667,NEON
20480,0.043868,0.043870,0.000004,0.043867,0.043876,0.043876,0.4669,NEON
24576,0.052654,0.052654,0.000002,0.052652,0.052656,0.052656,0.4667,NEON
28672,0.061443,0.061444,0.000002,0.061441,0.061446,0.061446,0.4666,NEON
32768,0.070239,0.070239,0.000001,0.070238,0.070241,0.070241,0.4665,NEON
40960,0.087843,0.087845,0.000003,0.087843,0.087849,0.087849,0.4663,NEON
49152,0.105418,0.105419,0.000002,0.105418,0.105422,0.105421,0.4663,NEON
57344,0.123011,0.123014,0.000005,0.123010,0.123020,0.123020,0.4662,NEON
65536,0.140596,0.140604,0.000011,0.140595,0.140619,0.140619,0.4661,NEON
