array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.001058,0.001059,0.000001,0.001057,0.001060,0.001060,0.4839,Scalar
1024,0.002156,0.002158,0.000003,0.002155,0.002162,0.002162,0.4749,Scalar
2048,0.004353,0.004353,0.000001,0.004352,0.004354,0.004354,0.4705,Scalar
4096,0.008746,0.008746,0.000001,0.008745,0.008747,0.008747,0.4683,Scalar
8192,0.017532,0.017532,0.000001,0.017531,0.017533,0.017533,0.4673,Scalar
12288,0.026321,0.026321,0.000001,0.026320,0.026322,0.026322,0.4669,Scalar
16384,0.035107,0.035107,0.000001,0.035105,0.035108,0.035108,0.4667,Scalar
20480,0.043878,0.043878,0.000001,0.043876,0.043879,0.043879,0.4667,Scalar
24576,0.052666,0.052666,0.000001,0.052664,0.052667,0.052667,0.4666,Scalar
28672,0.061452,0.061452,0.000001,0.061451,0.061454,0.061454,0.4666,Scalar
32768,0.070253,0.070256,0.000004,0.070252,0.070262,0.070262,0.4664,Scalar
40960,0.087832,0.087833,0.000002,0.087830,0.087836,0.087836,0.4663,Scalar
49152,0.105414,0.105419,0.000010,0.105409,0.105433,0.105433,0.4663,Scalar
57344,0.122995,0.122996,0.000003,0.122993,0.123000,0.123000,0.4662,Scalar
65536,0.140576,0.140577,0.000006,0.140570,0.140585,0.140585,0.4662,Scalar
