array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.001058,0.001059,0.000002,0.001057,0.001061,0.001061,0.4838,SVE
1024,0.002159,0.002159,0.000002,0.002157,0.002161,0.002161,0.4742,SVE
2048,0.004361,0.004368,0.000010,0.004361,0.004383,0.004382,0.4696,SVE
4096,0.008748,0.008750,0.000004,0.008746,0.008756,0.008756,0.4682,SVE
8192,0.017535,0.017535,0.000001,0.017534,0.017535,0.017535,0.4672,SVE
12288,0.026321,0.026321,0.000001,0.026320,0.026321,0.026321,0.4668,SVE
16384,0.035112,0.035111,0.000003,0.035107,0.035113,0.035113,0.4666,SVE
20480,0.043884,0.043883,0.000002,0.043881,0.043885,0.043885,0.4667,SVE
24576,0.052672,0.052673,0.000003,0.052669,0.052677,0.052677,0.4666,SVE
28672,0.061457,0.061457,0.000001,0.061456,0.061459,0.061459,0.4665,SVE
32768,0.070249,0.070250,0.000002,0.070248,0.070253,0.070253,0.4665,SVE
40960,0.087845,0.087843,0.000004,0.087837,0.087846,0.087846,0.4663,SVE
49152,0.105425,0.105423,0.000003,0.105419,0.105426,0.105426,0.4662,SVE
57344,0.123010,0.123013,0.000005,0.123008,0.123019,0.123019,0.4662,SVE
65536,0.140594,0.140592,0.000003,0.140587,0.140595,0.140595,0.4661,SVE
