array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000282,0.000283,0.000001,0.000282,0.000284,0.000284,1.8135,NEON
1024,0.000557,0.000558,0.000002,0.000557,0.000561,0.000561,1.8369,NEON
2048,0.001106,0.001106,0.000001,0.001105,0.001107,0.001107,1.8512,NEON
4096,0.002206,0.002207,0.000001,0.002205,0.002208,0.002208,1.8566,NEON
8192,0.004407,0.004407,0.000001,0.004406,0.004409,0.004409,1.8590,NEON
12288,0.006612,0.006614,0.000004,0.006610,0.006620,0.006619,1.8585,NEON
16384,0.008810,0.008810,0.000002,0.008808,0.008812,0.008812,1.8596,NEON
20480,0.011013,0.011013,0.000000,0.011013,0.011013,0.011013,1.8596,NEON
24576,0.013223,0.013224,0.000002,0.013221,0.013227,0.013227,1.8586,NEON
28672,0.015419,0.015420,0.000005,0.015415,0.015427,0.015427,1.8595,NEON
32768,0.017622,0.017621,0.000004,0.017616,0.017625,0.017625,1.8595,NEON
40960,0.022015,0.022016,0.000002,0.022015,0.022019,0.022019,1.8605,NEON
49152,0.026416,0.026417,0.000002,0.026416,0.026421,0.026421,1.8607,NEON
57344,0.030809,0.030812,0.000008,0.030805,0.030823,0.030823,1.8613,NEON
65536,0.035209,0.035208,0.000004,0.035203,0.035214,0.035213,1.8614,NEON
