array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000461,0.000462,0.000003,0.000459,0.000465,0.000465,1.1117,Scalar
1024,0.000919,0.000919,0.000000,0.000918,0.000919,0.000919,1.1143,Scalar
2048,0.001838,0.001838,0.000001,0.001836,0.001839,0.001839,1.1142,Scalar
4096,0.003668,0.003668,0.000001,0.003667,0.003669,0.003669,1.1166,Scalar
8192,0.007337,0.007337,0.000001,0.007335,0.007338,0.007338,1.1166,Scalar
12288,0.010996,0.010996,0.000000,0.010996,0.010996,0.010996,1.1175,Scalar
16384,0.014666,0.014666,0.000006,0.014659,0.014673,0.014673,1.1171,Scalar
20480,0.018321,0.018321,0.000000,0.018320,0.018321,0.018321,1.1179,Scalar
24576,0.022000,0.021996,0.000006,0.021988,0.022001,0.022001,1.1171,Scalar
28672,0.025647,0.025647,0.000001,0.025646,0.025648,0.025648,1.1180,Scalar
32768,0.029318,0.029321,0.000012,0.029308,0.029338,0.029337,1.1177,Scalar
40960,0.036632,0.036631,0.000001,0.036630,0.036632,0.036632,1.1182,Scalar
49152,0.043952,0.043952,0.000001,0.043952,0.043953,0.043953,1.1183,Scalar
57344,0.051274,0.051278,0.000005,0.051274,0.051285,0.051285,1.1184,Scalar
65536,0.058596,0.058598,0.000005,0.058594,0.058606,0.058606,1.1184,Scalar
