array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000299,0.000299,0.000001,0.000297,0.000301,0.000301,1.7138,SVE
1024,0.000594,0.000594,0.000001,0.000593,0.000594,0.000594,1.7247,SVE
2048,0.001202,0.001203,0.000001,0.001202,0.001204,0.001204,1.7035,SVE
4096,0.002416,0.002414,0.000004,0.002408,0.002418,0.002418,1.6956,SVE
8192,0.004821,0.004822,0.000002,0.004820,0.004825,0.004825,1.6993,SVE
12288,0.006830,0.006829,0.000001,0.006829,0.006830,0.006830,1.7992,SVE
16384,0.009121,0.009122,0.000001,0.009120,0.009123,0.009123,1.7963,SVE
20480,0.011416,0.011416,0.000001,0.011415,0.011417,0.011417,1.7939,SVE
24576,0.013740,0.013740,0.000001,0.013739,0.013742,0.013742,1.7886,SVE
28672,0.016053,0.016055,0.000002,0.016053,0.016058,0.016058,1.7860,SVE
32768,0.018498,0.018497,0.000001,0.018495,0.018498,0.018498,1.7714,SVE
40960,0.023028,0.023027,0.000002,0.023024,0.023029,0.023029,1.7787,SVE
49152,0.027570,0.027572,0.000004,0.027568,0.027577,0.027577,1.7828,SVE
57344,0.031918,0.031919,0.000002,0.031917,0.031922,0.031922,1.7966,SVE
65536,0.036349,0.036349,0.000003,0.036346,0.036353,0.036353,1.8030,SVE
