array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000235,0.000235,0.000001,0.000235,0.000236,0.000236,2.1812,SVE2
1024,0.000459,0.000459,0.000001,0.000457,0.000460,0.000460,2.2297,SVE2
2048,0.000913,0.000912,0.000002,0.000910,0.000915,0.000915,2.2436,SVE2
4096,0.001817,0.001817,0.000001,0.001816,0.001817,0.001817,2.2541,SVE2
8192,0.003631,0.003634,0.000004,0.003631,0.003639,0.003639,2.2562,SVE2
12288,0.005462,0.005463,0.000002,0.005461,0.005466,0.005465,2.2498,SVE2
16384,0.007281,0.007281,0.000002,0.007279,0.007283,0.007283,2.2504,SVE2
20480,0.009099,0.009099,0.000001,0.009098,0.009100,0.009100,2.2507,SVE2
24576,0.010931,0.010929,0.000003,0.010925,0.010931,0.010931,2.2484,SVE2
28672,0.012824,0.012824,0.000001,0.012824,0.012826,0.012826,2.2358,SVE2
32768,0.014566,0.014566,0.000001,0.014564,0.014567,0.014567,2.2496,SVE2
40960,0.018460,0.018460,0.000001,0.018460,0.018461,0.018461,2.2189,SVE2
49152,0.022013,0.022015,0.000005,0.022010,0.022022,0.022022,2.2328,SVE2
57344,0.025530,0.025529,0.000003,0.025526,0.025532,0.025532,2.2461,SVE2
65536,0.028787,0.028785,0.000003,0.028781,0.028788,0.028788,2.2766,SVE2
