array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000782,0.000782,0.000001,0.000781,0.000783,0.000783,0.6551,Scalar
1024,0.001602,0.001602,0.000001,0.001602,0.001603,0.001603,0.6393,Scalar
2048,0.003243,0.003242,0.000001,0.003241,0.003243,0.003243,0.6315,Scalar
4096,0.006523,0.006527,0.000006,0.006523,0.006536,0.006535,0.6279,Scalar
8192,0.013086,0.013087,0.000001,0.013086,0.013088,0.013088,0.6260,Scalar
12288,0.019648,0.019648,0.000002,0.019647,0.019650,0.019650,0.6254,Scalar
16384,0.026211,0.026211,0.000001,0.026211,0.026213,0.026213,0.6251,Scalar
20480,0.032774,0.032775,0.000003,0.032773,0.032779,0.032779,0.6249,Scalar
24576,0.039337,0.039338,0.000002,0.039336,0.039341,0.039341,0.6248,Scalar
28672,0.045900,0.045901,0.000004,0.045897,0.045906,0.045906,0.6247,Scalar
32768,0.052461,0.052464,0.000003,0.052461,0.052468,0.052468,0.6246,Scalar
40960,0.065587,0.065589,0.000005,0.065585,0.065597,0.065597,0.6245,Scalar
49152,0.078716,0.078714,0.000003,0.078710,0.078717,0.078717,0.6244,Scalar
57344,0.091845,0.091954,0.000157,0.091840,0.092176,0.092170,0.6244,Scalar
65536,0.104973,0.104975,0.000006,0.104969,0.104983,0.104983,0.6243,Scalar
