array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000164,0.000164,0.000001,0.000164,0.000165,0.000165,3.1223,SVE
1024,0.000346,0.000347,0.000001,0.000346,0.000348,0.000348,2.9553,SVE
2048,0.000713,0.000714,0.000002,0.000713,0.000716,0.000716,2.8720,SVE
4096,0.001446,0.001445,0.000001,0.001445,0.001446,0.001446,2.8336,SVE
8192,0.002912,0.002913,0.000001,0.002912,0.002914,0.002914,2.8132,SVE
12288,0.004376,0.004376,0.000001,0.004375,0.004377,0.004377,2.8079,SVE
16384,0.005842,0.005842,0.000001,0.005841,0.005844,0.005844,2.8046,SVE
20480,0.007305,0.007305,0.000000,0.007305,0.007305,0.007305,2.8034,SVE
24576,0.008771,0.008772,0.000002,0.008770,0.008775,0.008775,2.8019,SVE
28672,0.010236,0.010236,0.000001,0.010235,0.010238,0.010238,2.8011,SVE
32768,0.011699,0.011699,0.000001,0.011697,0.011701,0.011700,2.8010,SVE
40960,0.014628,0.014630,0.000004,0.014627,0.014635,0.014635,2.8002,SVE
49152,0.017558,0.017557,0.000000,0.017557,0.017558,0.017558,2.7995,SVE
57344,0.020490,0.020489,0.000002,0.020486,0.020491,0.020491,2.7987,SVE
65536,0.023417,0.023418,0.000000,0.023417,0.023418,0.023418,2.7986,SVE
