array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000078,0.000078,0.000000,0.000078,0.000078,0.000078,6.5743,SVE2
1024,0.000170,0.000170,0.000001,0.000170,0.000171,0.000171,6.0396,SVE2
2048,0.000353,0.000354,0.000001,0.000352,0.000355,0.000355,5.7958,SVE2
4096,0.000719,0.000720,0.000001,0.000719,0.000721,0.000721,5.6965,SVE2
8192,0.001452,0.001452,0.000001,0.001452,0.001454,0.001454,5.6414,SVE2
12288,0.002186,0.002186,0.000001,0.002185,0.002187,0.002187,5.6224,SVE2
16384,0.002918,0.002918,0.000001,0.002918,0.002919,0.002919,5.6142,SVE2
20480,0.003650,0.003650,0.000000,0.003649,0.003651,0.003651,5.6114,SVE2
24576,0.004385,0.004385,0.000001,0.004384,0.004386,0.004386,5.6047,SVE2
28672,0.005119,0.005119,0.000000,0.005119,0.005119,0.005119,5.6013,SVE2
32768,0.005854,0.005854,0.000001,0.005853,0.005856,0.005856,5.5977,SVE2
40960,0.007325,0.007325,0.000001,0.007324,0.007325,0.007325,5.5917,SVE2
49152,0.008793,0.008791,0.000004,0.008786,0.008794,0.008794,5.5899,SVE2
57344,0.010262,0.010261,0.000002,0.010258,0.010263,0.010263,5.5878,SVE2
65536,0.011728,0.011728,0.000001,0.011726,0.011729,0.011729,5.5882,SVE2
