array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000059,0.000059,0.000001,0.000059,0.000060,0.000060,8.7425,NEON
1024,0.000149,0.000149,0.000000,0.000149,0.000149,0.000149,6.8627,NEON
2048,0.000332,0.000332,0.000000,0.000332,0.000333,0.000333,6.1676,NEON
4096,0.000699,0.000700,0.000001,0.000699,0.000702,0.000702,5.8626,NEON
8192,0.001431,0.001431,0.000001,0.001430,0.001433,0.001433,5.7233,NEON
12288,0.002163,0.002164,0.000002,0.002163,0.002167,0.002167,5.6806,NEON
16384,0.002895,0.002895,0.000000,0.002895,0.002896,0.002896,5.6592,NEON
20480,0.003629,0.003630,0.000003,0.003627,0.003633,0.003633,5.6440,NEON
24576,0.004360,0.004360,0.000000,0.004359,0.004360,0.004360,5.6370,NEON
28672,0.005092,0.005092,0.000001,0.005091,0.005093,0.005093,5.6310,NEON
32768,0.005824,0.005824,0.000000,0.005824,0.005825,0.005825,5.6263,NEON
40960,0.007289,0.007289,0.000000,0.007288,0.007289,0.007289,5.6196,NEON
49152,0.008753,0.008753,0.000000,0.008752,0.008754,0.008754,5.6157,NEON
57344,0.010218,0.010220,0.000005,0.010216,0.010227,0.010226,5.6123,NEON
65536,0.011682,0.011682,0.000001,0.011680,0.011682,0.011682,5.6101,NEON
