array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000235,0.000236,0.000001,0.000235,0.000237,0.000237,2.1749,Scalar
1024,0.000468,0.000468,0.000002,0.000467,0.000471,0.000471,2.1895,Scalar
2048,0.000931,0.000931,0.000000,0.000931,0.000932,0.000932,2.1999,Scalar
4096,0.001860,0.001862,0.000004,0.001859,0.001868,0.001868,2.2023,Scalar
8192,0.003716,0.003716,0.000001,0.003715,0.003716,0.003716,2.2047,Scalar
12288,0.005571,0.005572,0.000002,0.005570,0.005574,0.005574,2.2056,Scalar
16384,0.009602,0.009602,0.000001,0.009601,0.009603,0.009603,1.7064,Scalar
20480,0.011123,0.010654,0.000667,0.009711,0.011127,0.011127,1.8412,Scalar
24576,0.011142,0.011689,0.000773,0.011142,0.012782,0.012749,2.2056,Scalar
28672,0.012999,0.013388,0.000552,0.012997,0.014169,0.014145,2.2058,Scalar
32768,0.021269,0.020953,0.000455,0.020310,0.021279,0.021279,1.5406,Scalar
40960,0.024411,0.024703,0.001546,0.022974,0.026726,0.026680,1.6779,Scalar
49152,0.030125,0.030121,0.000078,0.030023,0.030214,0.030212,1.6316,Scalar
57344,0.035309,0.035292,0.000061,0.035210,0.035356,0.035355,1.6241,Scalar
65536,0.040631,0.040686,0.000095,0.040607,0.040819,0.040815,1.6130,Scalar
