array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000073,0.000073,0.000000,0.000073,0.000073,0.000073,7.0309,SVE
1024,0.000164,0.000165,0.000001,0.000164,0.000166,0.000166,6.2434,SVE
2048,0.000347,0.000347,0.000001,0.000346,0.000349,0.000349,5.9024,SVE
4096,0.000713,0.000713,0.000000,0.000713,0.000714,0.000714,5.7447,SVE
8192,0.001446,0.001446,0.000001,0.001445,0.001447,0.001447,5.6654,SVE
12288,0.002178,0.002178,0.000001,0.002177,0.002179,0.002179,5.6429,SVE
16384,0.002910,0.002910,0.000000,0.002909,0.002910,0.002910,5.6309,SVE
20480,0.003643,0.003643,0.000000,0.003642,0.003643,0.003643,5.6219,SVE
24576,0.004376,0.004376,0.000001,0.004375,0.004377,0.004377,5.6162,SVE
28672,0.005108,0.005109,0.000001,0.005108,0.005110,0.005110,5.6126,SVE
32768,0.005839,0.005839,0.000000,0.005839,0.005839,0.005839,5.6120,SVE
40960,0.007306,0.007306,0.000001,0.007305,0.007307,0.007307,5.6064,SVE
49152,0.008771,0.008771,0.000000,0.008770,0.008771,0.008771,5.6041,SVE
57344,0.010235,0.010235,0.000000,0.010235,0.010235,0.010235,5.6027,SVE
65536,0.011700,0.011700,0.000000,0.011700,0.011700,0.011700,5.6014,SVE
