array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000036,0.000038,0.000003,0.000035,0.000042,0.000042,14.0551,SVE2
1024,0.000078,0.000078,0.000000,0.000078,0.000078,0.000078,13.1657,SVE2
2048,0.000169,0.000170,0.000000,0.000169,0.000170,0.000170,12.0933,SVE2
4096,0.000352,0.000353,0.000000,0.000352,0.000353,0.000353,11.6221,SVE2
8192,0.000719,0.000720,0.000001,0.000719,0.000721,0.000721,11.3871,SVE2
12288,0.001085,0.001085,0.000000,0.001084,0.001085,0.001085,11.3236,SVE2
16384,0.001452,0.001453,0.000002,0.001452,0.001456,0.001456,11.2829,SVE2
20480,0.001817,0.001817,0.000000,0.001817,0.001818,0.001818,11.2698,SVE2
24576,0.002184,0.002184,0.000001,0.002184,0.002185,0.002185,11.2524,SVE2
28672,0.002552,0.002552,0.000001,0.002550,0.002553,0.002553,11.2373,SVE2
32768,0.002917,0.002919,0.000003,0.002917,0.002924,0.002924,11.2317,SVE2
40960,0.003650,0.003650,0.000000,0.003649,0.003650,0.003650,11.2233,SVE2
49152,0.004385,0.004385,0.000001,0.004384,0.004386,0.004386,11.2094,SVE2
57344,0.005119,0.005119,0.000001,0.005118,0.005120,0.005120,11.2023,SVE2
65536,0.005854,0.005855,0.000001,0.005854,0.005855,0.005855,11.1943,SVE2
