array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000150,0.000151,0.000001,0.000150,0.000152,0.000152,3.4119,NEON
1024,0.000333,0.000333,0.000000,0.000333,0.000334,0.000334,3.0766,NEON
2048,0.000699,0.000700,0.000002,0.000699,0.000703,0.000703,2.9291,NEON
4096,0.001434,0.001433,0.000001,0.001432,0.001434,0.001434,2.8568,NEON
8192,0.002896,0.002896,0.000001,0.002896,0.002898,0.002897,2.8290,NEON
12288,0.004361,0.004361,0.000001,0.004360,0.004363,0.004363,2.8177,NEON
16384,0.005825,0.005825,0.000001,0.005825,0.005826,0.005826,2.8128,NEON
20480,0.007290,0.007290,0.000000,0.007290,0.007290,0.007290,2.8094,NEON
24576,0.008754,0.008754,0.000001,0.008753,0.008755,0.008755,2.8074,NEON
28672,0.010218,0.010218,0.000001,0.010217,0.010219,0.010219,2.8060,NEON
32768,0.011683,0.011682,0.000000,0.011682,0.011683,0.011683,2.8049,NEON
40960,0.014613,0.014612,0.000001,0.014610,0.014614,0.014614,2.8030,NEON
49152,0.017541,0.017541,0.000000,0.017541,0.017541,0.017541,2.8021,NEON
57344,0.020470,0.020469,0.000000,0.020469,0.020470,0.020470,2.8014,NEON
65536,0.023398,0.023399,0.000001,0.023398,0.023400,0.023400,2.8009,NEON
