array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000334,0.000334,0.000001,0.000332,0.000335,0.000335,1.5337,Scalar
1024,0.000699,0.000699,0.000000,0.000699,0.000700,0.000700,1.4654,Scalar
2048,0.001431,0.001432,0.000002,0.001431,0.001434,0.001434,1.4310,Scalar
4096,0.002895,0.002895,0.000000,0.002895,0.002896,0.002896,1.4146,Scalar
8192,0.005826,0.005827,0.000002,0.005825,0.005830,0.005830,1.4061,Scalar
12288,0.008756,0.008756,0.000002,0.008754,0.008760,0.008759,1.4034,Scalar
16384,0.011683,0.011682,0.000000,0.011682,0.011683,0.011683,1.4024,Scalar
20480,0.014609,0.014610,0.000001,0.014609,0.014611,0.014611,1.4018,Scalar
24576,0.017539,0.017539,0.000001,0.017538,0.017540,0.017540,1.4012,Scalar
28672,0.020468,0.020468,0.000000,0.020468,0.020469,0.020469,1.4008,Scalar
32768,0.023398,0.023400,0.000003,0.023397,0.023404,0.023404,1.4005,Scalar
40960,0.029256,0.029258,0.000003,0.029254,0.029262,0.029262,1.4000,Scalar
49152,0.035112,0.035115,0.000004,0.035112,0.035120,0.035120,1.3998,Scalar
57344,0.040971,0.040970,0.000001,0.040968,0.040971,0.040971,1.3996,Scalar
65536,0.046827,0.046828,0.000003,0.046825,0.046832,0.046832,1.3995,Scalar
