array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000163,0.000163,0.000000,0.000163,0.000163,0.000163,3.1317,SVE
1024,0.000347,0.000348,0.000003,0.000346,0.000352,0.000352,2.9552,SVE
2048,0.000712,0.000713,0.000001,0.000712,0.000713,0.000713,2.8745,SVE
4096,0.001447,0.001447,0.000001,0.001445,0.001447,0.001447,2.8300,SVE
8192,0.002910,0.002910,0.000000,0.002909,0.002910,0.002910,2.8152,SVE
12288,0.004374,0.004374,0.000001,0.004373,0.004375,0.004375,2.8095,SVE
16384,0.005841,0.005842,0.000002,0.005840,0.005845,0.005845,2.8052,SVE
20480,0.007305,0.007305,0.000001,0.007304,0.007306,0.007306,2.8036,SVE
24576,0.008772,0.008773,0.000004,0.008770,0.008778,0.008778,2.8018,SVE
28672,0.010235,0.010235,0.000000,0.010235,0.010236,0.010236,2.8013,SVE
32768,0.011700,0.011700,0.000000,0.011699,0.011700,0.011700,2.8007,SVE
40960,0.014629,0.014632,0.000005,0.014628,0.014639,0.014639,2.7999,SVE
49152,0.017558,0.017557,0.000000,0.017557,0.017558,0.017558,2.7995,SVE
57344,0.020486,0.020488,0.000003,0.020486,0.020492,0.020492,2.7992,SVE
65536,0.023416,0.023416,0.000000,0.023415,0.023416,0.023416,2.7988,SVE
