array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000078,0.000079,0.000001,0.000078,0.000080,0.000080,6.5347,SVE2
1024,0.000170,0.000171,0.000002,0.000170,0.000174,0.000174,6.0272,SVE2
2048,0.000354,0.000353,0.000000,0.000353,0.000354,0.000354,5.7919,SVE2
4096,0.000719,0.000719,0.000001,0.000718,0.000720,0.000720,5.6946,SVE2
8192,0.001452,0.001453,0.000001,0.001452,0.001454,0.001454,5.6407,SVE2
12288,0.002208,0.002208,0.000000,0.002207,0.002208,0.002208,5.5652,SVE2
16384,0.002920,0.002919,0.000001,0.002918,0.002920,0.002920,5.6117,SVE2
20480,0.003653,0.003653,0.000000,0.003652,0.003653,0.003653,5.6071,SVE2
24576,0.004389,0.004389,0.000001,0.004388,0.004389,0.004389,5.5994,SVE2
28672,0.005126,0.005126,0.000000,0.005126,0.005126,0.005126,5.5937,SVE2
32768,0.005862,0.005862,0.000001,0.005861,0.005864,0.005864,5.5901,SVE2
40960,0.007333,0.007333,0.000000,0.007333,0.007333,0.007333,5.5856,SVE2
49152,0.008802,0.008803,0.000002,0.008801,0.008806,0.008806,5.5840,SVE2
57344,0.010268,0.010268,0.000001,0.010267,0.010270,0.010270,5.5848,SVE2
65536,0.011733,0.011733,0.000000,0.011733,0.011734,0.011734,5.5857,SVE2
