array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000151,0.000151,0.000001,0.000150,0.000153,0.000153,3.3867,NEON
1024,0.000333,0.000333,0.000000,0.000333,0.000334,0.000334,3.0775,NEON
2048,0.000699,0.000700,0.000001,0.000698,0.000701,0.000701,2.9295,NEON
4096,0.001432,0.001433,0.000001,0.001432,0.001435,0.001435,2.8596,NEON
8192,0.002897,0.002897,0.000001,0.002896,0.002898,0.002898,2.8279,NEON
12288,0.004361,0.004361,0.000000,0.004360,0.004361,0.004361,2.8179,NEON
16384,0.005826,0.005827,0.000002,0.005824,0.005830,0.005830,2.8123,NEON
20480,0.007289,0.007290,0.000001,0.007289,0.007291,0.007291,2.8096,NEON
24576,0.008753,0.008753,0.000000,0.008753,0.008754,0.008754,2.8077,NEON
28672,0.010220,0.010219,0.000002,0.010217,0.010221,0.010221,2.8054,NEON
32768,0.011682,0.011682,0.000000,0.011681,0.011683,0.011683,2.8050,NEON
40960,0.014611,0.014613,0.000003,0.014610,0.014617,0.014617,2.8034,NEON
49152,0.017540,0.017540,0.000001,0.017539,0.017541,0.017541,2.8023,NEON
57344,0.020469,0.020472,0.000006,0.020469,0.020480,0.020480,2.8016,NEON
65536,0.023397,0.023402,0.000008,0.023397,0.023414,0.023413,2.8010,NEON
