array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000164,0.000165,0.000001,0.000164,0.000167,0.000167,3.1188,SVE
1024,0.000347,0.000347,0.000001,0.000347,0.000348,0.000348,2.9529,SVE
2048,0.000713,0.000714,0.000001,0.000713,0.000715,0.000715,2.8705,SVE
4096,0.001446,0.001446,0.000001,0.001445,0.001447,0.001447,2.8329,SVE
8192,0.002912,0.002913,0.000001,0.002911,0.002914,0.002914,2.8128,SVE
12288,0.004377,0.004377,0.000000,0.004376,0.004377,0.004377,2.8077,SVE
16384,0.005840,0.005840,0.000000,0.005840,0.005841,0.005841,2.8054,SVE
20480,0.007305,0.007305,0.000000,0.007304,0.007305,0.007305,2.8036,SVE
24576,0.008771,0.008771,0.000000,0.008771,0.008771,0.008771,2.8020,SVE
28672,0.010237,0.010237,0.000000,0.010237,0.010238,0.010238,2.8008,SVE
32768,0.011699,0.011699,0.000001,0.011699,0.011700,0.011700,2.8008,SVE
40960,0.014629,0.014629,0.000000,0.014628,0.014629,0.014629,2.8000,SVE
49152,0.017557,0.017557,0.000000,0.017557,0.017558,0.017558,2.7995,SVE
57344,0.020489,0.020489,0.000001,0.020487,0.020489,0.020489,2.7988,SVE
65536,0.023415,0.023416,0.000001,0.023415,0.023417,0.023417,2.7989,SVE
