array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000077,0.000077,0.000000,0.000077,0.000077,0.000077,6.6483,SVE2
1024,0.000169,0.000169,0.000001,0.000169,0.000171,0.000171,6.0648,SVE2
2048,0.000352,0.000353,0.000002,0.000352,0.000356,0.000356,5.8100,SVE2
4096,0.000719,0.000719,0.000000,0.000719,0.000719,0.000719,5.6997,SVE2
8192,0.001453,0.001453,0.000001,0.001452,0.001454,0.001454,5.6370,SVE2
12288,0.002186,0.002186,0.000001,0.002185,0.002187,0.002187,5.6225,SVE2
16384,0.002917,0.002918,0.000001,0.002917,0.002918,0.002918,5.6161,SVE2
20480,0.003651,0.003652,0.000002,0.003651,0.003654,0.003654,5.6090,SVE2
24576,0.004385,0.004385,0.000001,0.004384,0.004386,0.004386,5.6045,SVE2
28672,0.005119,0.005118,0.000000,0.005118,0.005119,0.005119,5.6016,SVE2
32768,0.005854,0.005853,0.000001,0.005851,0.005854,0.005854,5.5979,SVE2
40960,0.007323,0.007324,0.000000,0.007323,0.007324,0.007324,5.5931,SVE2
49152,0.008792,0.008794,0.000005,0.008790,0.008801,0.008801,5.5907,SVE2
57344,0.010260,0.010260,0.000000,0.010260,0.010261,0.010261,5.5889,SVE2
65536,0.011725,0.011725,0.000003,0.011721,0.011728,0.011728,5.5895,SVE2
