array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000206,0.000206,0.000000,0.000205,0.000206,0.000206,2.4890,Scalar
1024,0.000405,0.000406,0.000002,0.000404,0.000408,0.000408,2.5272,Scalar
2048,0.000801,0.000800,0.000002,0.000798,0.000801,0.000801,2.5584,Scalar
4096,0.001600,0.001598,0.000003,0.001594,0.001600,0.001600,2.5608,Scalar
8192,0.003187,0.003187,0.000001,0.003185,0.003188,0.003188,2.5701,Scalar
12288,0.004845,0.004843,0.000004,0.004837,0.004846,0.004846,2.5360,Scalar
16384,0.006616,0.006619,0.000004,0.006615,0.006625,0.006624,2.4763,Scalar
20480,0.008252,0.008251,0.000003,0.008246,0.008254,0.008254,2.4819,Scalar
24576,0.009897,0.009898,0.000004,0.009894,0.009903,0.009903,2.4832,Scalar
28672,0.011551,0.011551,0.000004,0.011545,0.011556,0.011556,2.4822,Scalar
32768,0.013053,0.013053,0.000002,0.013051,0.013057,0.013057,2.5104,Scalar
40960,0.016278,0.016279,0.000007,0.016271,0.016288,0.016288,2.5163,Scalar
49152,0.019560,0.019567,0.000011,0.019558,0.019582,0.019581,2.5129,Scalar
57344,0.022870,0.022871,0.000003,0.022869,0.022876,0.022876,2.5074,Scalar
65536,0.026148,0.026151,0.000013,0.026137,0.026168,0.026168,2.5064,Scalar
