array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000080,0.000080,0.000001,0.000079,0.000082,0.000082,6.3985,SVE
1024,0.000154,0.000155,0.000002,0.000154,0.000158,0.000158,6.6462,SVE
2048,0.000307,0.000306,0.000003,0.000302,0.000308,0.000308,6.6665,SVE
4096,0.000607,0.000606,0.000001,0.000604,0.000607,0.000607,6.7505,SVE
8192,0.001208,0.001207,0.000003,0.001202,0.001210,0.001210,6.7809,SVE
12288,0.001883,0.001884,0.000002,0.001881,0.001886,0.001886,6.5246,SVE
16384,0.002862,0.002864,0.000025,0.002834,0.002895,0.002894,5.7256,SVE
20480,0.003923,0.003920,0.000005,0.003913,0.003925,0.003925,5.2205,SVE
24576,0.004704,0.004703,0.000001,0.004703,0.004704,0.004704,5.2249,SVE
28672,0.005490,0.005489,0.000002,0.005487,0.005492,0.005492,5.2229,SVE
32768,0.005031,0.005034,0.000004,0.005031,0.005040,0.005040,6.5127,SVE
40960,0.006358,0.006360,0.000004,0.006356,0.006365,0.006365,6.4426,SVE
49152,0.007751,0.007744,0.000010,0.007731,0.007751,0.007751,6.3416,SVE
57344,0.009197,0.009192,0.000008,0.009181,0.009197,0.009197,6.2351,SVE
65536,0.012106,0.012105,0.000014,0.012086,0.012122,0.012122,5.4136,SVE
