array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000053,0.000052,0.000003,0.000047,0.000055,0.000055,9.7434,SVE2
1024,0.000103,0.000104,0.000003,0.000100,0.000107,0.000107,9.9021,SVE2
2048,0.000212,0.000213,0.000002,0.000211,0.000215,0.000215,9.6723,SVE2
4096,0.000421,0.000420,0.000001,0.000418,0.000422,0.000422,9.7389,SVE2
8192,0.000858,0.000857,0.000001,0.000856,0.000859,0.000859,9.5508,SVE2
12288,0.001737,0.001735,0.000002,0.001733,0.001737,0.001737,7.0762,SVE2
16384,0.002582,0.002582,0.000001,0.002581,0.002584,0.002584,6.3456,SVE2
20480,0.003134,0.003138,0.000008,0.003131,0.003149,0.003149,6.5350,SVE2
24576,0.003750,0.003753,0.000006,0.003749,0.003761,0.003761,6.5534,SVE2
28672,0.004388,0.004388,0.000002,0.004385,0.004391,0.004391,6.5335,SVE2
32768,0.004929,0.004931,0.000005,0.004927,0.004938,0.004937,6.6486,SVE2
40960,0.006416,0.006415,0.000005,0.006409,0.006420,0.006420,6.3839,SVE2
49152,0.007738,0.007739,0.000005,0.007734,0.007746,0.007746,6.3524,SVE2
57344,0.009053,0.009055,0.000004,0.009052,0.009061,0.009060,6.3340,SVE2
65536,0.010399,0.010414,0.000025,0.010394,0.010450,0.010449,6.3024,SVE2
