array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.051496,0.051473,0.000060,0.051390,0.051532,0.051531,0.0099,Scalar
1024,0.051677,0.051697,0.000062,0.051634,0.051782,0.051780,0.0198,Scalar
2048,0.052227,0.052227,0.000001,0.052225,0.052227,0.052227,0.0392,Scalar
4096,0.053216,0.053226,0.000024,0.053204,0.053259,0.053258,0.0770,Scalar
8192,0.054950,0.054973,0.000032,0.054950,0.055018,0.055017,0.1491,Scalar
12288,0.056910,0.056912,0.000003,0.056909,0.056917,0.056917,0.2159,Scalar
16384,0.058764,0.058762,0.000006,0.058753,0.058768,0.058768,0.2788,Scalar
20480,0.060795,0.060899,0.000151,0.060789,0.061113,0.061107,0.3369,Scalar
24576,0.062848,0.062836,0.000031,0.062794,0.062866,0.062866,0.3910,Scalar
28672,0.064699,0.064699,0.000001,0.064699,0.064700,0.064700,0.4432,Scalar
32768,0.066560,0.066638,0.000113,0.066556,0.066798,0.066794,0.4923,Scalar
40960,0.070537,0.070491,0.000067,0.070396,0.070539,0.070539,0.5807,Scalar
49152,0.073488,0.073488,0.000005,0.073482,0.073494,0.073494,0.6688,Scalar
57344,0.077362,0.077359,0.000004,0.077354,0.077362,0.077362,0.7412,Scalar
65536,0.081143,0.081139,0.000019,0.081113,0.081160,0.081159,0.8077,Scalar
