array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.052685,0.052694,0.000079,0.052602,0.052796,0.052793,0.0097,SVE
1024,0.052195,0.052251,0.000095,0.052173,0.052385,0.052381,0.0196,SVE
2048,0.052360,0.052404,0.000075,0.052343,0.052509,0.052506,0.0391,SVE
4096,0.053427,0.053455,0.000064,0.053396,0.053544,0.053541,0.0767,SVE
8192,0.055462,0.055475,0.000038,0.055436,0.055527,0.055526,0.1477,SVE
12288,0.057111,0.057288,0.000323,0.057013,0.057741,0.057729,0.2152,SVE
16384,0.060162,0.060143,0.000030,0.060101,0.060166,0.060166,0.2723,SVE
20480,0.062886,0.062899,0.000045,0.062851,0.062959,0.062958,0.3257,SVE
24576,0.064353,0.064281,0.000148,0.064075,0.064417,0.064415,0.3819,SVE
28672,0.066461,0.066483,0.000078,0.066399,0.066588,0.066585,0.4314,SVE
32768,0.067450,0.067470,0.000177,0.067264,0.067696,0.067691,0.4858,SVE
40960,0.072010,0.072001,0.000032,0.071958,0.072034,0.072034,0.5688,SVE
49152,0.075935,0.075964,0.000131,0.075820,0.076137,0.076133,0.6473,SVE
57344,0.079724,0.079760,0.000136,0.079614,0.079942,0.079938,0.7193,SVE
65536,0.083922,0.083922,0.000037,0.083877,0.083968,0.083967,0.7809,SVE
