array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.050658,0.050663,0.000011,0.050653,0.050679,0.050679,0.0101,SVE2
1024,0.050904,0.050904,0.000001,0.050902,0.050905,0.050905,0.0201,SVE2
2048,0.051377,0.051378,0.000003,0.051376,0.051382,0.051382,0.0399,SVE2
4096,0.052371,0.052367,0.000009,0.052355,0.052376,0.052376,0.0782,SVE2
8192,0.054255,0.054257,0.000009,0.054248,0.054270,0.054269,0.1510,SVE2
12288,0.056213,0.056217,0.000006,0.056213,0.056225,0.056225,0.2186,SVE2
16384,0.058107,0.058107,0.000005,0.058100,0.058113,0.058112,0.2820,SVE2
20480,0.060055,0.060056,0.000004,0.060051,0.060061,0.060061,0.3410,SVE2
24576,0.061963,0.061966,0.000004,0.061962,0.061972,0.061972,0.3966,SVE2
28672,0.063891,0.063892,0.000009,0.063881,0.063903,0.063903,0.4488,SVE2
32768,0.065754,0.065757,0.000008,0.065749,0.065768,0.065768,0.4983,SVE2
40960,0.069638,0.069636,0.000004,0.069630,0.069639,0.069639,0.5882,SVE2
49152,0.073473,0.073476,0.000006,0.073471,0.073484,0.073484,0.6690,SVE2
57344,0.077363,0.077386,0.000056,0.077332,0.077462,0.077460,0.7412,SVE2
65536,0.081141,0.081150,0.000015,0.081137,0.081172,0.081171,0.8077,SVE2
