array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000282,0.000284,0.000002,0.000282,0.000286,0.000286,1.8139,NEON
1024,0.000557,0.000558,0.000000,0.000557,0.000558,0.000558,1.8370,NEON
2048,0.001107,0.001107,0.000000,0.001106,0.001107,0.001107,1.8506,NEON
4096,0.002207,0.002207,0.000001,0.002205,0.002209,0.002209,1.8559,NEON
8192,0.004410,0.004410,0.000001,0.004409,0.004411,0.004411,1.8575,NEON
12288,0.006605,0.006605,0.000001,0.006604,0.006606,0.006606,1.8605,NEON
16384,0.008810,0.008810,0.000002,0.008807,0.008812,0.008812,1.8597,NEON
20480,0.011014,0.011014,0.000002,0.011013,0.011016,0.011016,1.8595,NEON
24576,0.013221,0.013222,0.000004,0.013218,0.013227,0.013227,1.8589,NEON
28672,0.015419,0.015419,0.000003,0.015415,0.015422,0.015422,1.8595,NEON
32768,0.017622,0.017623,0.000004,0.017619,0.017628,0.017628,1.8595,NEON
40960,0.022021,0.022021,0.000001,0.022019,0.022022,0.022022,1.8600,NEON
49152,0.026413,0.026413,0.000001,0.026413,0.026414,0.026414,1.8609,NEON
57344,0.030811,0.030812,0.000002,0.030809,0.030815,0.030815,1.8611,NEON
65536,0.035200,0.035201,0.000002,0.035199,0.035203,0.035203,1.8618,NEON
