array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000460,0.000460,0.000001,0.000459,0.000461,0.000461,1.1128,Scalar
1024,0.000919,0.000921,0.000003,0.000919,0.000925,0.000925,1.1138,Scalar
2048,0.001836,0.001837,0.000001,0.001836,0.001838,0.001838,1.1153,Scalar
4096,0.003668,0.003669,0.000001,0.003668,0.003671,0.003671,1.1166,Scalar
8192,0.007353,0.007354,0.000003,0.007351,0.007357,0.007357,1.1142,Scalar
12288,0.011017,0.011017,0.000001,0.011016,0.011018,0.011018,1.1154,Scalar
16384,0.014674,0.014675,0.000003,0.014672,0.014679,0.014679,1.1166,Scalar
20480,0.018340,0.018340,0.000001,0.018340,0.018341,0.018341,1.1167,Scalar
24576,0.022003,0.022002,0.000001,0.022001,0.022003,0.022003,1.1170,Scalar
28672,0.025662,0.025664,0.000002,0.025662,0.025666,0.025666,1.1173,Scalar
32768,0.029321,0.029324,0.000004,0.029321,0.029330,0.029330,1.1176,Scalar
40960,0.036647,0.036647,0.000003,0.036643,0.036651,0.036651,1.1177,Scalar
49152,0.043967,0.043967,0.000000,0.043967,0.043968,0.043968,1.1179,Scalar
57344,0.051288,0.051290,0.000003,0.051288,0.051293,0.051293,1.1181,Scalar
65536,0.058613,0.058614,0.000003,0.058611,0.058617,0.058617,1.1181,Scalar
