array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000298,0.000298,0.000001,0.000297,0.000299,0.000299,1.7205,SVE
1024,0.000594,0.000595,0.000002,0.000594,0.000598,0.000598,1.7226,SVE
2048,0.001203,0.001202,0.000002,0.001200,0.001204,0.001204,1.7019,SVE
4096,0.002416,0.002417,0.000002,0.002415,0.002419,0.002419,1.6950,SVE
8192,0.004760,0.004767,0.000012,0.004757,0.004784,0.004783,1.7209,SVE
12288,0.006844,0.006845,0.000002,0.006843,0.006848,0.006847,1.7954,SVE
16384,0.009124,0.009125,0.000002,0.009123,0.009127,0.009127,1.7958,SVE
20480,0.011414,0.011414,0.000000,0.011414,0.011415,0.011415,1.7943,SVE
24576,0.013722,0.013722,0.000001,0.013720,0.013723,0.013723,1.7910,SVE
28672,0.016064,0.016065,0.000002,0.016062,0.016068,0.016068,1.7849,SVE
32768,0.018479,0.018479,0.000002,0.018476,0.018481,0.018481,1.7733,SVE
40960,0.022988,0.022987,0.000002,0.022985,0.022990,0.022990,1.7818,SVE
49152,0.027576,0.027576,0.000002,0.027574,0.027580,0.027580,1.7824,SVE
57344,0.031894,0.031892,0.000002,0.031889,0.031895,0.031895,1.7980,SVE
65536,0.036326,0.036326,0.000001,0.036325,0.036327,0.036327,1.8041,SVE
