array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000234,0.000235,0.000001,0.000234,0.000237,0.000237,2.1862,SVE2
1024,0.000461,0.000462,0.000002,0.000461,0.000464,0.000464,2.2213,SVE2
2048,0.000914,0.000913,0.000001,0.000912,0.000914,0.000914,2.2416,SVE2
4096,0.001820,0.001819,0.000002,0.001817,0.001821,0.001821,2.2511,SVE2
8192,0.003636,0.003635,0.000001,0.003633,0.003637,0.003637,2.2530,SVE2
12288,0.005469,0.005469,0.000002,0.005467,0.005472,0.005472,2.2467,SVE2
16384,0.007289,0.007289,0.000001,0.007287,0.007291,0.007290,2.2478,SVE2
20480,0.009109,0.009109,0.000000,0.009109,0.009109,0.009109,2.2484,SVE2
24576,0.010949,0.010950,0.000001,0.010949,0.010950,0.010950,2.2445,SVE2
28672,0.012838,0.012836,0.000004,0.012831,0.012840,0.012840,2.2334,SVE2
32768,0.014574,0.014575,0.000002,0.014573,0.014577,0.014577,2.2483,SVE2
40960,0.018519,0.018519,0.000001,0.018518,0.018520,0.018520,2.2118,SVE2
49152,0.022066,0.022061,0.000008,0.022049,0.022067,0.022067,2.2275,SVE2
57344,0.025541,0.025539,0.000004,0.025535,0.025543,0.025543,2.2452,SVE2
65536,0.028820,0.028821,0.000003,0.028818,0.028826,0.028826,2.2740,SVE2
