array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000050,0.000050,0.000001,0.000048,0.000051,0.000051,10.1743,NEON
1024,0.000114,0.000112,0.000005,0.000105,0.000117,0.000117,8.9573,NEON
2048,0.000237,0.000235,0.000003,0.000230,0.000237,0.000237,8.6591,NEON
4096,0.000556,0.000555,0.000002,0.000552,0.000558,0.000558,7.3719,NEON
8192,0.001102,0.001100,0.000003,0.001096,0.001103,0.001103,7.4348,NEON
12288,0.001795,0.001797,0.000008,0.001788,0.001807,0.001806,6.8450,NEON
16384,0.002659,0.002660,0.000003,0.002658,0.002664,0.002664,6.1620,NEON
20480,0.003185,0.003192,0.000010,0.003185,0.003205,0.003205,6.4306,NEON
24576,0.003771,0.003768,0.000008,0.003757,0.003776,0.003776,6.5174,NEON
28672,0.004388,0.004388,0.000005,0.004382,0.004395,0.004394,6.5339,NEON
32768,0.004947,0.004948,0.000002,0.004945,0.004950,0.004950,6.6237,NEON
40960,0.006431,0.006431,0.000002,0.006429,0.006434,0.006434,6.3690,NEON
49152,0.007750,0.007749,0.000001,0.007748,0.007751,0.007751,6.3426,NEON
57344,0.009398,0.009417,0.000032,0.009391,0.009463,0.009461,6.1019,NEON
65536,0.010407,0.010407,0.000004,0.010402,0.010411,0.010411,6.2973,NEON
