array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000206,0.000205,0.000002,0.000201,0.000207,0.000207,2.4880,Scalar
1024,0.000406,0.000406,0.000001,0.000404,0.000408,0.000408,2.5235,Scalar
2048,0.000801,0.000801,0.000001,0.000801,0.000802,0.000802,2.5557,Scalar
4096,0.001592,0.001592,0.000002,0.001590,0.001595,0.001595,2.5731,Scalar
8192,0.003179,0.003177,0.000002,0.003174,0.003179,0.003179,2.5772,Scalar
12288,0.004839,0.004840,0.000002,0.004838,0.004843,0.004843,2.5392,Scalar
16384,0.006647,0.006646,0.000002,0.006643,0.006648,0.006648,2.4648,Scalar
20480,0.008255,0.008253,0.000004,0.008248,0.008256,0.008256,2.4810,Scalar
24576,0.009900,0.009902,0.000004,0.009898,0.009907,0.009907,2.4823,Scalar
28672,0.011550,0.011550,0.000002,0.011547,0.011553,0.011553,2.4825,Scalar
32768,0.013058,0.013058,0.000001,0.013057,0.013060,0.013060,2.5095,Scalar
40960,0.016319,0.016320,0.000002,0.016318,0.016324,0.016324,2.5099,Scalar
49152,0.019627,0.019628,0.000007,0.019621,0.019638,0.019638,2.5044,Scalar
57344,0.023514,0.023509,0.000036,0.023463,0.023551,0.023550,2.4388,Scalar
65536,0.026242,0.026240,0.000010,0.026227,0.026251,0.026251,2.4973,Scalar
