array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000081,0.000080,0.000003,0.000075,0.000083,0.000083,6.3475,SVE
1024,0.000155,0.000156,0.000002,0.000154,0.000158,0.000158,6.6275,SVE
2048,0.000304,0.000305,0.000002,0.000303,0.000307,0.000307,6.7296,SVE
4096,0.000607,0.000607,0.000002,0.000605,0.000609,0.000609,6.7532,SVE
8192,0.001208,0.001208,0.000002,0.001206,0.001210,0.001210,6.7788,SVE
12288,0.001875,0.001874,0.000003,0.001869,0.001877,0.001877,6.5537,SVE
16384,0.003125,0.003117,0.000020,0.003091,0.003137,0.003137,5.2434,SVE
20480,0.003254,0.003266,0.000017,0.003253,0.003289,0.003289,6.2937,SVE
24576,0.004137,0.004143,0.000025,0.004116,0.004175,0.004175,5.9407,SVE
28672,0.005262,0.005255,0.000012,0.005239,0.005266,0.005266,5.4490,SVE
32768,0.005023,0.005024,0.000002,0.005021,0.005027,0.005027,6.5233,SVE
40960,0.006278,0.006279,0.000005,0.006273,0.006286,0.006286,6.5242,SVE
49152,0.007536,0.007539,0.000008,0.007531,0.007549,0.007549,6.5224,SVE
57344,0.008813,0.008817,0.000007,0.008811,0.008827,0.008826,6.5067,SVE
65536,0.010550,0.010562,0.000020,0.010546,0.010591,0.010590,6.2122,SVE
