array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000048,0.000050,0.000003,0.000048,0.000054,0.000054,10.7552,SVE2
1024,0.000107,0.000107,0.000005,0.000100,0.000113,0.000113,9.5533,SVE2
2048,0.000210,0.000210,0.000001,0.000209,0.000210,0.000210,9.7366,SVE2
4096,0.000419,0.000419,0.000002,0.000416,0.000422,0.000422,9.7709,SVE2
8192,0.000906,0.000906,0.000003,0.000902,0.000909,0.000909,9.0394,SVE2
12288,0.001701,0.001701,0.000002,0.001700,0.001703,0.001703,7.2260,SVE2
16384,0.002572,0.002570,0.000003,0.002566,0.002573,0.002573,6.3691,SVE2
20480,0.003132,0.003133,0.000004,0.003130,0.003139,0.003139,6.5398,SVE2
24576,0.003755,0.003757,0.000002,0.003754,0.003760,0.003760,6.5442,SVE2
28672,0.004381,0.004383,0.000004,0.004380,0.004388,0.004388,6.5446,SVE2
32768,0.004928,0.004924,0.000007,0.004915,0.004930,0.004930,6.6498,SVE2
40960,0.006334,0.006332,0.000003,0.006328,0.006334,0.006334,6.4663,SVE2
49152,0.007666,0.007664,0.000003,0.007659,0.007666,0.007666,6.4121,SVE2
57344,0.009664,0.009650,0.000029,0.009610,0.009678,0.009677,5.9340,SVE2
65536,0.010430,0.010429,0.000005,0.010424,0.010435,0.010435,6.2835,SVE2
