array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000149,0.000149,0.000000,0.000149,0.000149,0.000149,3.4362,NEON
1024,0.000334,0.000334,0.000002,0.000332,0.000336,0.000336,3.0677,NEON
2048,0.000698,0.000698,0.000001,0.000698,0.000699,0.000699,2.9321,NEON
4096,0.001432,0.001432,0.000001,0.001430,0.001434,0.001434,2.8594,NEON
8192,0.002895,0.002896,0.000001,0.002894,0.002897,0.002897,2.8294,NEON
12288,0.004359,0.004360,0.000000,0.004359,0.004360,0.004360,2.8188,NEON
16384,0.005824,0.005824,0.000000,0.005824,0.005825,0.005824,2.8131,NEON
20480,0.007289,0.007289,0.000000,0.007288,0.007289,0.007289,2.8098,NEON
24576,0.008754,0.008754,0.000000,0.008754,0.008755,0.008755,2.8074,NEON
28672,0.010218,0.010218,0.000000,0.010218,0.010218,0.010218,2.8061,NEON
32768,0.011683,0.011683,0.000000,0.011682,0.011683,0.011683,2.8048,NEON
40960,0.014611,0.014611,0.000001,0.014610,0.014613,0.014613,2.8034,NEON
49152,0.017541,0.017540,0.000001,0.017539,0.017541,0.017541,2.8022,NEON
57344,0.020469,0.020469,0.000001,0.020468,0.020470,0.020470,2.8016,NEON
65536,0.023398,0.023398,0.000001,0.023398,0.023399,0.023399,2.8009,NEON
