array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000332,0.000332,0.000001,0.000330,0.000334,0.000334,1.5437,Scalar
1024,0.000697,0.000698,0.000001,0.000697,0.000699,0.000699,1.4692,Scalar
2048,0.001429,0.001430,0.000001,0.001429,0.001431,0.001431,1.4332,Scalar
4096,0.002893,0.002894,0.000001,0.002893,0.002895,0.002895,1.4156,Scalar
8192,0.005823,0.005823,0.000000,0.005823,0.005823,0.005823,1.4068,Scalar
12288,0.008758,0.008756,0.000003,0.008752,0.008758,0.008758,1.4031,Scalar
16384,0.011680,0.011680,0.000000,0.011680,0.011681,0.011681,1.4027,Scalar
20480,0.014609,0.014609,0.000001,0.014609,0.014610,0.014610,1.4018,Scalar
24576,0.017540,0.017539,0.000001,0.017537,0.017540,0.017540,1.4012,Scalar
28672,0.020466,0.020467,0.000001,0.020466,0.020468,0.020468,1.4010,Scalar
32768,0.023396,0.023397,0.000003,0.023395,0.023401,0.023401,1.4006,Scalar
40960,0.029253,0.029253,0.000001,0.029252,0.029254,0.029254,1.4002,Scalar
49152,0.035118,0.035117,0.000005,0.035110,0.035123,0.035123,1.3996,Scalar
57344,0.040968,0.040969,0.000002,0.040968,0.040971,0.040971,1.3997,Scalar
65536,0.046827,0.046828,0.000003,0.046826,0.046832,0.046832,1.3995,Scalar
