array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000163,0.000163,0.000000,0.000163,0.000163,0.000163,3.1463,SVE
1024,0.000346,0.000346,0.000001,0.000345,0.000347,0.000347,2.9582,SVE
2048,0.000712,0.000713,0.000001,0.000712,0.000714,0.000714,2.8752,SVE
4096,0.001446,0.001446,0.000001,0.001445,0.001448,0.001448,2.8333,SVE
8192,0.002912,0.002912,0.000001,0.002911,0.002912,0.002912,2.8130,SVE
12288,0.004374,0.004374,0.000001,0.004373,0.004374,0.004374,2.8092,SVE
16384,0.005843,0.005843,0.000002,0.005840,0.005844,0.005844,2.8040,SVE
20480,0.007307,0.007307,0.000002,0.007305,0.007310,0.007310,2.8027,SVE
24576,0.008771,0.008771,0.000001,0.008770,0.008772,0.008772,2.8018,SVE
28672,0.010237,0.010237,0.000001,0.010236,0.010238,0.010238,2.8009,SVE
32768,0.011699,0.011699,0.000000,0.011699,0.011700,0.011700,2.8009,SVE
40960,0.014628,0.014628,0.000001,0.014628,0.014629,0.014629,2.8000,SVE
49152,0.017558,0.017558,0.000000,0.017557,0.017559,0.017559,2.7995,SVE
57344,0.020487,0.020489,0.000003,0.020486,0.020493,0.020493,2.7991,SVE
65536,0.023416,0.023416,0.000000,0.023416,0.023416,0.023416,2.7988,SVE
