array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000078,0.000078,0.000000,0.000078,0.000078,0.000078,6.5784,SVE2
1024,0.000170,0.000170,0.000000,0.000170,0.000170,0.000170,6.0389,SVE2
2048,0.000353,0.000355,0.000002,0.000353,0.000357,0.000357,5.7944,SVE2
4096,0.000719,0.000719,0.000001,0.000718,0.000720,0.000720,5.6978,SVE2
8192,0.001452,0.001453,0.000001,0.001452,0.001454,0.001454,5.6429,SVE2
12288,0.002186,0.002185,0.000000,0.002185,0.002186,0.002186,5.6225,SVE2
16384,0.002918,0.002918,0.000001,0.002917,0.002919,0.002919,5.6146,SVE2
20480,0.003650,0.003651,0.000001,0.003649,0.003652,0.003652,5.6108,SVE2
24576,0.004385,0.004384,0.000000,0.004384,0.004385,0.004385,5.6050,SVE2
28672,0.005120,0.005119,0.000001,0.005118,0.005120,0.005120,5.6004,SVE2
32768,0.005854,0.005853,0.000001,0.005851,0.005855,0.005855,5.5977,SVE2
40960,0.007324,0.007323,0.000001,0.007323,0.007324,0.007324,5.5929,SVE2
49152,0.008793,0.008793,0.000001,0.008792,0.008795,0.008795,5.5902,SVE2
57344,0.010261,0.010260,0.000003,0.010255,0.010263,0.010263,5.5888,SVE2
65536,0.011728,0.011726,0.000004,0.011720,0.011728,0.011728,5.5879,SVE2
