array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000010,0.000010,0.000000,0.000010,0.000010,0.000010,51.1632,NEON
1024,0.000010,0.000010,0.000000,0.000010,0.000010,0.000010,102.3427,NEON
2048,0.000010,0.000010,0.000000,0.000010,0.000010,0.000010,204.7017,NEON
4096,0.000010,0.000010,0.000000,0.000010,0.000010,0.000010,409.3953,NEON
8192,0.000010,0.000010,0.000000,0.000010,0.000010,0.000010,818.8069,NEON
12288,0.000010,0.000010,0.000000,0.000010,0.000010,0.000010,1228.2104,NEON
16384,0.000010,0.000010,0.000000,0.000010,0.000010,0.000010,1637.5812,NEON
20480,0.000010,0.000010,0.000000,0.000010,0.000010,0.000010,2046.9766,NEON
24576,0.000010,0.000010,0.000000,0.000010,0.000010,0.000010,2456.3719,NEON
28672,0.000010,0.000010,0.000000,0.000010,0.000010,0.000010,2865.7670,NEON
32768,0.000010,0.000010,0.000000,0.000010,0.000010,0.000010,3275.2280,NEON
40960,0.000010,0.000010,0.000000,0.000010,0.000010,0.000010,4093.9531,NEON
49152,0.000010,0.000010,0.000000,0.000010,0.000010,0.000010,4912.6455,NEON
57344,0.000010,0.000011,0.000001,0.000010,0.000012,0.000012,5731.5344,NEON
65536,0.000010,0.000010,0.000000,0.000010,0.000010,0.000010,6550.3250,NEON
