array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000010,0.000010,0.000000,0.000010,0.000010,0.000010,53.0592,Scalar
1024,0.000010,0.000010,0.000000,0.000010,0.000010,0.000010,106.1272,Scalar
2048,0.000010,0.000010,0.000000,0.000010,0.000010,0.000010,212.2720,Scalar
4096,0.000010,0.000011,0.000001,0.000010,0.000013,0.000013,424.5440,Scalar
8192,0.000010,0.000010,0.000000,0.000010,0.000010,0.000010,849.1055,Scalar
12288,0.000010,0.000010,0.000000,0.000010,0.000010,0.000010,1273.6319,Scalar
16384,0.000010,0.000010,0.000000,0.000010,0.000010,0.000010,1698.1406,Scalar
20480,0.000010,0.000010,0.000000,0.000010,0.000010,0.000010,2122.7196,Scalar
24576,0.000010,0.000010,0.000000,0.000010,0.000010,0.000010,2547.3164,Scalar
28672,0.000010,0.000010,0.000000,0.000010,0.000010,0.000010,2971.8077,Scalar
32768,0.000010,0.000010,0.000000,0.000010,0.000010,0.000010,3396.3514,Scalar
40960,0.000010,0.000010,0.000000,0.000010,0.000010,0.000010,4245.4395,Scalar
49152,0.000010,0.000010,0.000000,0.000010,0.000010,0.000010,5094.6327,Scalar
57344,0.000010,0.000010,0.000000,0.000010,0.000010,0.000010,5943.6154,Scalar
65536,0.000010,0.000010,0.000000,0.000010,0.000010,0.000010,6792.7033,Scalar
