array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000010,0.000010,0.000000,0.000010,0.000010,0.000010,51.1693,SVE2
1024,0.000010,0.000010,0.000000,0.000010,0.000010,0.000010,102.3509,SVE2
2048,0.000010,0.000010,0.000000,0.000010,0.000010,0.000010,204.6977,SVE2
4096,0.000010,0.000010,0.000000,0.000010,0.000010,0.000010,409.4035,SVE2
8192,0.000010,0.000010,0.000000,0.000010,0.000010,0.000010,818.7906,SVE2
12288,0.000010,0.000010,0.000000,0.000010,0.000010,0.000010,1228.1858,SVE2
16384,0.000010,0.000010,0.000000,0.000010,0.000010,0.000010,1637.6139,SVE2
20480,0.000010,0.000010,0.000000,0.000010,0.000010,0.000010,2046.9766,SVE2
24576,0.000010,0.000010,0.000000,0.000010,0.000010,0.000010,2456.3719,SVE2
28672,0.000010,0.000010,0.000000,0.000010,0.000010,0.000010,2865.8243,SVE2
32768,0.000010,0.000010,0.000000,0.000010,0.000010,0.000010,3275.0970,SVE2
40960,0.000010,0.000010,0.000000,0.000010,0.000010,0.000010,4093.7894,SVE2
49152,0.000010,0.000010,0.000000,0.000010,0.000010,0.000010,4912.8420,SVE2
57344,0.000010,0.000011,0.000001,0.000010,0.000012,0.000012,5731.4197,SVE2
65536,0.000010,0.000010,0.000000,0.000010,0.000010,0.000010,6550.1940,SVE2
