array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000265,0.000265,0.000001,0.000265,0.000267,0.000267,1.9335,NEON
1024,0.000540,0.000541,0.000001,0.000540,0.000542,0.000542,1.8965,NEON
2048,0.001090,0.001090,0.000000,0.001089,0.001090,0.001090,1.8793,NEON
4096,0.002189,0.002191,0.000004,0.002188,0.002197,0.002197,1.8714,NEON
8192,0.004387,0.004387,0.000001,0.004386,0.004387,0.004387,1.8672,NEON
12288,0.006585,0.006585,0.000000,0.006584,0.006585,0.006585,1.8660,NEON
16384,0.008784,0.008784,0.000001,0.008782,0.008785,0.008785,1.8652,NEON
20480,0.010982,0.010982,0.000000,0.010981,0.010982,0.010982,1.8649,NEON
24576,0.013178,0.013178,0.000000,0.013177,0.013178,0.013178,1.8649,NEON
28672,0.015374,0.015375,0.000001,0.015374,0.015376,0.015376,1.8649,NEON
32768,0.017571,0.017570,0.000000,0.017570,0.017571,0.017571,1.8649,NEON
40960,0.021966,0.021966,0.000001,0.021965,0.021967,0.021967,1.8647,NEON
49152,0.026360,0.026361,0.000002,0.026360,0.026364,0.026364,1.8646,NEON
57344,0.030754,0.030754,0.000000,0.030753,0.030754,0.030754,1.8646,NEON
65536,0.035147,0.035149,0.000004,0.035146,0.035156,0.035156,1.8646,NEON
