array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000451,0.000451,0.000001,0.000451,0.000452,0.000452,1.1343,Scalar
1024,0.000912,0.000911,0.000001,0.000910,0.000912,0.000912,1.1233,Scalar
2048,0.001828,0.001829,0.000002,0.001827,0.001831,0.001831,1.1206,Scalar
4096,0.003665,0.003665,0.000001,0.003665,0.003666,0.003666,1.1176,Scalar
8192,0.007341,0.007342,0.000003,0.007339,0.007345,0.007345,1.1159,Scalar
12288,0.011017,0.011019,0.000004,0.011016,0.011024,0.011024,1.1154,Scalar
16384,0.014683,0.014683,0.000001,0.014682,0.014685,0.014685,1.1159,Scalar
20480,0.018358,0.018358,0.000001,0.018358,0.018359,0.018359,1.1156,Scalar
24576,0.022037,0.022037,0.000001,0.022036,0.022039,0.022039,1.1152,Scalar
28672,0.025702,0.025702,0.000003,0.025698,0.025706,0.025706,1.1156,Scalar
32768,0.029373,0.029369,0.000005,0.029362,0.029373,0.029373,1.1156,Scalar
40960,0.036711,0.036712,0.000002,0.036710,0.036714,0.036714,1.1158,Scalar
49152,0.044056,0.044053,0.000005,0.044046,0.044057,0.044057,1.1157,Scalar
57344,0.051382,0.051384,0.000003,0.051381,0.051388,0.051388,1.1160,Scalar
65536,0.058797,0.058797,0.000000,0.058797,0.058798,0.058798,1.1146,Scalar
